VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
1027,10820,23,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,815,NA,NA,815,100,NA,NA,V-B,216,6,73,0.847058824,0.023529412,0.28627451
1028,10860,23,10860_13_16_17_18_21_23,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,102,28,NA,22,21,79,NA,I-C,137,68,101,0.537254902,0.266666667,0.396078431
1029,10930,23,10930_13_15_16_23_24_28,Southern Colorado Plateau Sand Shrubland,Shrubland,220,NA,NA,220,100,NA,NA,V-A,134,219,24,0.525490196,0.858823529,0.094117647
1030,11020,23,11020_13_15_16_23_24,Colorado Plateau Pinyon-Juniper Shrubland,Conifer,333,222,127,65,20,29,51,III-A,255,0,0,1,0,0
1031,11030,23,11030_6_7_12_13_16_17_23,Great Basin Semi-Desert Chaparral,Shrubland,50,NA,NA,50,100,NA,NA,IV-A,174,250,255,0.682352941,0.980392157,1
1032,11040,23,11040_23_24,Mogollon Chaparral,Shrubland,47,370,NA,42,89,11,NA,IV-A,173,250,211,0.678431373,0.980392157,0.82745098
1033,11070,23,11070_23_24,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,51,150,NA,38,74,26,NA,III-A,115,255,223,0.450980392,1,0.874509804
1034,11150,23,11150_15_16_23_24,Inter-Mountain Basins Juniper Savanna,Conifer,333,218,126,64,20,29,51,III-A,137,112,68,0.537254902,0.439215686,0.266666667
1035,11170,23,11170_16_23_24,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,158,80,9,8,5,10,85,I-B,255,85,0,1,0.333333333,0
1036,11250,23,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,NA,NA,117,100,NA,NA,IV-B,255,115,223,1,0.450980392,0.874509804
1037,11261,23,11261_16_23_24,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,Shrubland,49,NA,NA,49,100,NA,NA,IV-A,230,0,169,0.901960784,0,0.662745098
